                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5666,                 2.6847,                 1.6178,                0.64212,                 0.7443,                0.75902,                0.56172,                 1.3459,                 1.3322,                  1.593,             0.00023794,             0.00023794,             0.00023794
                      2,                 1.1104,                 1.6619,                 1.3233,                0.70799,                  0.828,                0.80671,                0.66093,                0.97545,                 1.0226,                 1.3662,             0.00046023,             0.00046023,             0.00046023
                      3,                 1.0088,                 1.4317,                 1.2551,                0.71259,                0.82033,                 0.8197,                0.68127,                0.97115,                 0.8985,                 1.3871,             0.00066682,             0.00066682,             0.00066682
                      4,                0.92535,                 1.2886,                 1.2029,                0.73001,                 0.8434,                0.83497,                0.72055,                0.87501,                0.84253,                 1.2986,             0.00064331,             0.00064331,             0.00064331
                      5,                0.88037,                 1.2196,                 1.1798,                0.69963,                0.86456,                   0.83,                0.72096,                0.84408,                0.83351,                 1.2939,             0.00061975,             0.00061975,             0.00061975
                      6,                0.83131,                 1.1412,                 1.1481,                0.76874,                0.83466,                0.87168,                  0.765,                0.84098,                0.76165,                 1.2961,             0.00059619,             0.00059619,             0.00059619
                      7,                0.79213,                 1.0861,                 1.1277,                0.75716,                0.84631,                0.86936,                0.78006,                0.77344,                0.73169,                 1.2705,             0.00057263,             0.00057263,             0.00057263
                      8,                0.75795,                 1.0437,                 1.1113,                0.76713,                0.84777,                 0.8697,                0.77933,                0.73864,                0.70794,                 1.2652,             0.00054907,             0.00054907,             0.00054907
                      9,                0.73803,                 1.0191,                 1.1021,                0.78772,                0.82197,                0.88135,                0.78658,                0.74914,                0.69593,                 1.2561,              0.0005255,              0.0005255,              0.0005255
                     10,                0.71645,                0.99487,                 1.0911,                0.75469,                0.84599,                0.87684,                0.79609,                0.72763,                0.69108,                 1.2656,             0.00050194,             0.00050194,             0.00050194
                     11,                0.69979,                0.97112,                 1.0796,                0.76434,                0.86304,                0.88899,                0.80453,                 0.7155,                0.66161,                 1.2645,             0.00047838,             0.00047838,             0.00047838
                     12,                0.68073,                  0.949,                  1.071,                0.79869,                0.81994,                0.88788,                0.80996,                0.71527,                 0.6565,                 1.2792,             0.00045482,             0.00045482,             0.00045482
                     13,                0.66064,                 0.9249,                   1.06,                 0.7619,                0.86665,                0.89126,                0.81544,                 0.6901,                0.65154,                 1.2649,             0.00043126,             0.00043126,             0.00043126
                     14,                0.64712,                0.90323,                 1.0517,                0.78141,                0.85058,                0.88719,                0.81648,                 0.6888,                0.63967,                 1.2701,             0.00040769,             0.00040769,             0.00040769
                     15,                0.63768,                0.89263,                 1.0487,                0.77411,                0.85935,                0.88884,                0.81855,                0.67882,                0.63595,                 1.2745,             0.00038413,             0.00038413,             0.00038413
                     16,                 0.6243,                0.88134,                 1.0397,                 0.7627,                0.86456,                0.89385,                0.82395,                0.66886,                 0.6296,                 1.2527,             0.00036057,             0.00036057,             0.00036057
                     17,                0.61075,                0.87041,                 1.0352,                0.78367,                0.85509,                0.89834,                0.82794,                0.65812,                0.61801,                 1.2617,             0.00033701,             0.00033701,             0.00033701
                     18,                0.60075,                0.84997,                 1.0302,                0.80436,                0.83461,                0.89809,                0.83043,                0.65637,                0.61938,                 1.2593,             0.00031345,             0.00031345,             0.00031345
                     19,                0.58735,                 0.8406,                 1.0238,                0.77449,                 0.8696,                0.90028,                0.83382,                 0.6441,                0.61476,                 1.2593,             0.00028988,             0.00028988,             0.00028988
                     20,                0.58341,                 0.8293,                 1.0217,                0.78589,                0.86407,                0.89874,                0.83606,                0.63893,                  0.601,                 1.2455,             0.00026632,             0.00026632,             0.00026632
                     21,                0.46122,                0.58569,                0.96682,                0.78981,                0.84233,                0.89766,                0.83364,                0.62203,                0.59508,                 1.2433,             0.00024276,             0.00024276,             0.00024276
                     22,                0.43626,                0.57303,                0.95614,                0.79231,                0.85821,                0.90333,                0.84498,                0.60311,                0.58459,                 1.2175,              0.0002192,              0.0002192,              0.0002192
                     23,                0.41895,                 0.5594,                0.94371,                0.79534,                0.85653,                0.89912,                0.84055,                 0.6031,                0.58586,                 1.2304,             0.00019564,             0.00019564,             0.00019564
                     24,                0.40475,                0.54839,                0.93966,                0.78552,                  0.862,                0.90238,                0.84327,                0.59416,                0.58296,                 1.2209,             0.00017207,             0.00017207,             0.00017207
                     25,                 0.3918,                0.54087,                0.93079,                0.79663,                0.85415,                0.90444,                0.84952,                0.59077,                0.57861,                 1.2208,             0.00014851,             0.00014851,             0.00014851
                     26,                0.37971,                0.52963,                0.92819,                0.79669,                0.86294,                0.90286,                0.84612,                 0.5884,                 0.5746,                 1.2199,             0.00012495,             0.00012495,             0.00012495
                     27,                0.36843,                0.52401,                0.92099,                0.79996,                0.85118,                0.90148,                0.84549,                0.58291,                0.57581,                 1.2219,             0.00010139,             0.00010139,             0.00010139
                     28,                   0.36,                0.51488,                0.91648,                0.79484,                 0.8594,                 0.9017,                0.84609,                0.57968,                 0.5779,                 1.2193,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                 0.3493,                0.50829,                0.91175,                0.79192,                0.85987,                0.90309,                0.84888,                0.58085,                0.57728,                 1.2221,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.34092,                0.50014,                0.90718,                0.79349,                0.86175,                0.90255,                0.84888,                0.57752,                0.58074,                 1.2195,             3.0702e-05,             3.0702e-05,             3.0702e-05
