               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060734,            0.012606,            0.059136,             0.30784,              0.1655,             0.12734,            0.090383,            0.035038,           0.0091046,            0.045548,            0.070009,           0.0033324,           0.0033324
                   1,            0.043941,            0.010013,            0.040122,             0.49731,             0.37275,             0.30706,             0.18118,            0.036882,           0.0081013,             0.01786,            0.039789,           0.0064457,           0.0064457
                   2,            0.043309,           0.0092901,             0.01948,             0.52139,             0.43878,              0.3477,             0.23882,            0.032795,           0.0074547,           0.0083481,           0.0093486,           0.0093391,           0.0093391
                   3,            0.039093,           0.0088716,            0.012926,              0.4755,              0.4625,             0.37041,             0.27313,            0.031414,           0.0071814,           0.0056405,             0.00901,             0.00901,             0.00901
                   4,            0.034984,           0.0085661,            0.010132,             0.51775,               0.472,             0.39492,             0.30046,            0.028411,           0.0066398,           0.0039289,             0.00901,             0.00901,             0.00901
                   5,            0.032204,           0.0081653,            0.009061,             0.58954,             0.46667,             0.40591,             0.30983,            0.026833,           0.0065445,           0.0029457,             0.00868,             0.00868,             0.00868
                   6,            0.029545,           0.0079895,           0.0076244,              0.5735,             0.46322,             0.41355,             0.33278,            0.024408,           0.0068119,           0.0025016,             0.00835,             0.00835,             0.00835
                   7,            0.027794,             0.00776,           0.0066585,             0.57706,             0.50218,             0.44357,             0.36739,            0.023871,           0.0058171,           0.0021293,             0.00802,             0.00802,             0.00802
                   8,            0.026255,           0.0075289,           0.0062134,             0.61649,             0.48538,             0.43204,             0.35831,             0.02244,           0.0056884,           0.0021808,             0.00769,             0.00769,             0.00769
                   9,            0.025223,           0.0074322,           0.0057017,             0.59291,             0.50898,             0.45457,             0.36849,            0.022596,            0.005584,           0.0017981,             0.00736,             0.00736,             0.00736
                  10,            0.023964,           0.0072646,           0.0053532,             0.63119,             0.48288,             0.44754,             0.36833,            0.022276,           0.0055603,           0.0018201,             0.00703,             0.00703,             0.00703
                  11,            0.022929,           0.0071253,           0.0047115,             0.60846,             0.51509,             0.45347,             0.38262,            0.020937,           0.0054895,           0.0014682,              0.0067,              0.0067,              0.0067
                  12,            0.021875,           0.0070415,           0.0044262,             0.58225,             0.50596,             0.45095,             0.39116,            0.020626,            0.005376,           0.0013722,             0.00637,             0.00637,             0.00637
                  13,            0.021228,           0.0068628,           0.0042674,             0.60321,             0.51474,              0.4638,             0.40124,            0.020412,            0.005258,           0.0012921,             0.00604,             0.00604,             0.00604
                  14,            0.020648,           0.0069052,            0.003889,             0.63543,             0.50378,             0.47033,             0.40634,            0.019679,           0.0050999,           0.0011162,             0.00571,             0.00571,             0.00571
                  15,            0.020222,           0.0067101,           0.0036594,             0.62029,             0.52863,                0.47,             0.41083,            0.019258,           0.0050902,           0.0010973,             0.00538,             0.00538,             0.00538
                  16,            0.019533,           0.0066433,           0.0035353,              0.6415,              0.5252,             0.47769,             0.41747,            0.019233,           0.0049884,           0.0010699,             0.00505,             0.00505,             0.00505
                  17,            0.018731,           0.0064872,           0.0032429,             0.62469,             0.52734,             0.47261,             0.41701,            0.018721,           0.0049911,          0.00092696,             0.00472,             0.00472,             0.00472
                  18,            0.018019,           0.0064289,            0.003012,             0.63631,             0.52588,             0.48222,             0.42546,            0.018226,           0.0048749,          0.00092932,             0.00439,             0.00439,             0.00439
                  19,             0.01799,           0.0064285,           0.0032165,             0.63104,             0.54243,             0.48437,             0.43068,            0.017717,           0.0048515,          0.00083361,             0.00406,             0.00406,             0.00406
                  20,            0.017118,           0.0063013,            0.002545,             0.63983,             0.51992,             0.48043,             0.42792,            0.017767,           0.0047753,          0.00074665,             0.00373,             0.00373,             0.00373
                  21,            0.016539,           0.0062957,           0.0023266,             0.65739,             0.52253,             0.48648,             0.43505,            0.017313,           0.0046438,          0.00073587,              0.0034,              0.0034,              0.0034
                  22,            0.016012,           0.0061809,            0.002475,             0.63986,             0.53425,             0.48944,             0.44176,            0.017111,           0.0046068,          0.00067206,             0.00307,             0.00307,             0.00307
                  23,            0.015451,           0.0061088,           0.0021637,             0.64167,             0.53284,             0.48839,             0.44006,            0.017018,           0.0046099,          0.00055801,             0.00274,             0.00274,             0.00274
                  24,            0.014818,           0.0059814,           0.0020201,             0.64866,             0.52754,             0.49082,             0.44428,            0.016565,           0.0045458,          0.00053443,             0.00241,             0.00241,             0.00241
                  25,            0.014319,           0.0058976,           0.0018056,             0.65964,             0.52639,             0.49351,             0.44659,            0.016652,           0.0045217,          0.00047938,             0.00208,             0.00208,             0.00208
                  26,            0.013832,           0.0058304,           0.0016112,             0.65716,             0.52682,             0.49291,             0.44773,            0.016395,           0.0044827,          0.00042045,             0.00175,             0.00175,             0.00175
                  27,            0.013386,           0.0057797,           0.0016431,             0.66152,             0.52653,             0.49333,             0.44817,            0.016252,           0.0044584,          0.00037473,             0.00142,             0.00142,             0.00142
                  28,            0.013093,           0.0057644,           0.0015053,             0.67538,             0.52058,             0.49734,             0.45191,            0.015993,           0.0044246,          0.00033559,             0.00109,             0.00109,             0.00109
                  29,            0.012711,           0.0056459,           0.0013818,              0.6744,             0.52424,             0.49925,             0.45447,            0.015914,           0.0043975,          0.00029656,             0.00076,             0.00076,             0.00076
